time,open,high,low,close,volume
07-09-2026 03:30,66.015,66.102,65.781,66.069,640
07-09-2026 03:45,66.069,66.128,66.028,66.034,543
07-09-2026 04:00,66.034,66.160,66.033,66.143,501
07-09-2026 04:15,66.143,66.225,66.141,66.204,496
07-09-2026 04:30,66.204,66.256,66.204,66.207,354
07-09-2026 04:45,66.208,66.251,66.141,66.166,610
07-09-2026 05:00,66.163,66.239,66.139,66.219,679
07-09-2026 05:15,66.219,66.297,66.102,66.126,977
07-09-2026 05:30,66.128,66.228,66.099,66.171,1684
07-09-2026 05:45,66.176,66.245,66.133,66.152,1170
07-09-2026 06:00,66.152,66.254,66.101,66.227,1347
07-09-2026 06:15,66.226,66.430,66.082,66.082,1489
07-09-2026 06:30,66.083,66.083,65.584,65.719,2836
07-09-2026 06:45,65.722,65.910,65.525,65.907,2444
07-09-2026 07:00,65.905,66.246,65.901,66.091,2314
07-09-2026 07:15,66.092,66.225,65.992,66.048,2113
07-09-2026 07:30,66.045,66.119,65.915,65.950,1970
07-09-2026 07:45,65.949,66.069,65.939,66.030,1045
07-09-2026 08:00,66.031,66.316,66.015,66.202,2044
07-09-2026 08:15,66.202,66.311,65.899,65.978,1761
07-09-2026 08:30,65.978,66.022,65.875,65.906,1613
07-09-2026 08:45,65.906,65.974,65.871,65.906,1344
07-09-2026 09:00,65.906,65.907,65.740,65.747,792
07-09-2026 09:15,65.751,65.817,65.722,65.769,786
07-09-2026 09:30,65.770,65.862,65.741,65.842,830
07-09-2026 09:45,65.842,65.842,65.667,65.701,781
07-09-2026 10:00,65.701,65.702,65.585,65.636,839
07-09-2026 10:15,65.636,65.736,65.631,65.716,787
07-09-2026 10:30,65.717,65.885,65.698,65.795,921
07-09-2026 10:45,65.795,66.112,65.774,66.099,902
07-09-2026 11:00,66.105,66.157,65.786,65.867,2033
07-09-2026 11:15,65.871,65.914,65.538,65.622,1938
07-09-2026 11:30,65.626,65.703,65.450,65.678,2200
07-09-2026 11:45,65.678,65.763,65.588,65.672,1779
07-09-2026 12:00,65.672,65.782,65.648,65.717,1525
07-09-2026 12:15,65.717,65.819,65.527,65.593,1701
07-09-2026 12:30,65.601,65.719,65.496,65.718,1759
07-09-2026 12:45,65.718,65.734,65.594,65.622,1428
07-09-2026 13:00,65.625,65.770,65.467,65.566,1541
07-09-2026 13:15,65.567,65.901,65.540,65.852,1888
07-09-2026 13:30,65.855,65.942,65.711,65.854,2005
07-09-2026 13:45,65.862,66.189,65.860,65.971,1796
07-09-2026 14:00,65.971,66.065,65.928,65.939,1618
07-09-2026 14:15,65.941,65.946,65.824,65.865,1194
07-09-2026 14:30,65.869,65.903,65.853,65.876,1086
07-09-2026 14:45,65.876,65.885,65.759,65.760,1068
07-09-2026 15:00,65.764,65.847,65.716,65.818,1173
07-09-2026 15:15,65.818,65.842,65.726,65.741,864
07-09-2026 15:30,65.741,65.745,65.609,65.637,975
07-09-2026 15:45,65.636,65.673,65.532,65.536,944
07-09-2026 16:00,65.537,65.678,65.484,65.672,1092
07-09-2026 16:15,65.671,65.689,65.522,65.539,1448
07-09-2026 16:30,65.540,65.620,65.520,65.528,1392
07-09-2026 16:45,65.528,65.574,65.384,65.465,1218
07-09-2026 17:00,65.464,65.519,65.381,65.487,1388
07-09-2026 17:15,65.486,65.590,65.454,65.462,1004
07-09-2026 17:30,65.468,65.594,65.458,65.565,1114
07-09-2026 17:45,65.565,65.635,65.508,65.618,1131
07-09-2026 18:00,65.618,65.672,65.561,65.632,1085
07-09-2026 18:15,65.633,65.717,65.580,65.711,923
07-09-2026 18:30,65.711,65.842,65.663,65.814,2011
07-09-2026 18:45,65.814,65.892,65.704,65.859,1547
07-09-2026 19:00,65.860,65.890,65.751,65.822,1485
07-09-2026 19:15,65.822,66.001,65.822,65.913,1462
07-09-2026 19:30,65.913,66.041,65.890,65.932,1562
07-09-2026 19:45,65.932,65.994,65.886,65.933,1326
07-09-2026 20:00,65.932,66.150,65.896,66.147,1403
07-09-2026 20:15,66.149,66.715,66.115,66.545,2061
07-09-2026 20:30,66.535,66.561,66.253,66.370,1838
07-09-2026 20:45,66.366,66.366,66.224,66.284,1391
07-09-2026 21:00,66.285,66.308,66.195,66.258,1026
07-09-2026 21:15,66.257,66.319,66.243,66.314,827
07-09-2026 21:30,66.314,66.359,66.262,66.346,704
07-09-2026 21:45,66.344,66.357,66.184,66.276,704
07-09-2026 22:00,66.276,66.296,66.262,66.272,210
